"","id_cliente_enc","total_productos","productos_distintos","dias_activos","compras_por_semana","compras_entre_semana","compras_fin_de_semana","kmeans_cluster","hc_cluster"
"11416","4fd603c0b9e9d63d924362badc158a7b",25,24,52,3.36538461538462,25,0,2,1
"11417","4fd611eecabfcad33f956df631283efe",36,36,0,36,0,36,1,2
"11418","4fd648656d9d4d07c0453c10c706bd40",228,121,53,30.1132075471698,205,23,3,3
"11419","4fd84b070e29781708a73702e541b455",17,16,20,5.95,17,0,1,1
"11420","4fd92bad92725419c4e83c83b056a41a",72,59,40,12.6,72,0,2,3
"11421","4fda1b54f94db5ad6ad2143ef115869f",33,30,36,6.41666666666667,33,0,2,1
"11422","4fdb191528bdfa27283824597069004b",23,23,0,23,23,0,1,2
"11423","4fdbaf6e92bd0cd3efa56a618a7ef73a",23,23,0,23,23,0,1,2
"11424","4fdf16afada4c8af470b879667f482c1",137,95,30,31.9666666666667,137,0,3,3
"11425","4fdf91424ee717fa79acb8b6748b3cb8",132,83,80,11.55,132,0,3,3
"11426","4fe017fe8a9d6418abf185b322f87622",25,25,0,25,25,0,1,2
"11427","4fe2242116aa763c302b294bc1b1da96",3,3,0,3,3,0,1,2
"11428","4fe2c701923d24dfe83a2561f862248e",49,49,0,49,49,0,1,2
"11429","4fe611717ac0eb821cc4030a24584c23",65,49,48,9.47916666666667,65,0,2,3
"11430","4fe79b0b26750158b8dc10c1f769dc0e",197,105,71,19.4225352112676,197,0,3,3
"11431","4fea19046fdeb65764e7cea17ed5275b",36,30,52,4.84615384615385,36,0,2,1
"11432","4fefcdf0fdfbea32fd0ef46f84f390c3",36,36,0,36,36,0,1,2
"11433","4ff021a9939f3aa6a64fa331cbe1bfd6",22,22,0,22,0,22,1,2
"11434","4ff031f60d3b7cb70aa576925f80fd87",178,123,24,51.9166666666667,178,0,3,3
"11435","4ff13ae695f1b6706e72f54900341c9c",129,77,59,15.3050847457627,102,27,3,1
"11436","4ff32f1036db90039f66f5c893c7d39f",90,69,77,8.18181818181818,90,0,2,3
"11437","4ff623865c16777dd07fa42e66b7dd37",71,38,60,8.28333333333333,71,0,2,1
"11438","4ff7bf617b6768d921ab1fde97bc7047",141,68,63,15.6666666666667,141,0,3,3
"11439","4ff9c4fe2db4bd2ffaf488f131d89d53",38,38,0,38,38,0,1,2
"11440","4ffcf3a0c3ef72d55b81701bdf36405e",66,57,30,15.4,66,0,2,1
"11441","4fff7d092eb3cfcac8217d8d4436d4c6",58,39,21,19.3333333333333,58,0,1,1
"11442","5001707d67701fa6fe1cb1c14d9cfb24",29,29,0,29,29,0,1,2
"11443","5001f17fe28fdeabb9fc40581b985378",101,67,59,11.9830508474576,48,53,2,3
"11444","50038fe5cb777c716afd97cc6b748b63",69,53,37,13.0540540540541,69,0,2,1
"11445","500500618d9d8a3aef76fc13a8408cfc",82,64,22,26.0909090909091,82,0,2,2
"11446","5005d1e7505fb39c4e7429de01fb98ce",42,42,0,42,42,0,1,2
"11447","50065ecdebee5c202a64c6117e20cbce",79,67,38,14.5526315789474,56,23,2,1
"11448","5006c1e303584913c73bef9bbaa15988",27,23,53,3.56603773584906,11,16,2,1
"11449","5006e850432b0588d6af92e113d6f443",82,51,68,8.44117647058824,51,31,2,1
"11450","5006f11937643cacdffc196376023f7d",64,52,70,6.4,19,45,2,1
"11451","5007ec7b66e0e949950b5b0db91ef4d4",155,92,57,19.0350877192982,155,0,3,3
"11452","500a2ecf07b2df7178d171245916e8f0",7,7,0,7,7,0,1,2
"11453","500aba8a332f93b6dfb1bf3d72a51739",59,48,57,7.24561403508772,59,0,2,1
"11454","500c6aafa9a0fc5effbafab748f969f8",11,11,0,11,11,0,1,2
