"","TP","FP","FN","TN","N","precision","recall","TPR","FPR"
"RANDOM_NOR",0.0829694323144105,4.91703056768559,6.48034934497817,494.519650655022,506,0.0165938864628821,0.0124914829713937,0.0124914829713937,0.00984503740300104
"IBCF_NOR",0.0436681222707424,4.95633187772926,6.51965065502183,494.480349344978,506,0.00873362445414847,0.0048781738572622,0.0048781738572622,0.00992354782745577
"UBCF_NOR",0.117903930131004,4.882096069869,6.44541484716157,494.554585152838,506,0.0235807860262009,0.0179188162505832,0.0179188162505832,0.0097745631730907
"SVDF_NOR",0.327510917030568,4.67248908296943,6.23580786026201,494.764192139738,506,0.0655021834061135,0.0490329193571675,0.0490329193571675,0.00935278774600033
"POPULAR_NOR",0.593886462882096,4.4061135371179,5.96943231441048,495.03056768559,506,0.118777292576419,0.0869727100254591,0.0869727100254591,0.0088171955059001
