"","RMSE","MSE","MAE"
"RANDOM_NOR",12.3409042037466,152.297916566051,10.434820202604
"IBCF_NOR",2.3751419650408,5.64129935409787,1.37464706300813
"UBCF_NOR",1.82839751701545,3.34303748022827,1.26305386199422
"SVDF_NOR",1.77050823316688,3.1346994037117,1.17570205684344
"POPULAR_NOR",1.65462906492011,2.7377973424784,1.13856615528739
