"","TP","FP","FN","TN","N","precision","recall","TPR","FPR"
"RANDOM_BIN",0.0123762376237624,4.98762376237624,0.987623762376238,500.012376237624,506,0.00247524752475248,0.0123762376237624,0.0123762376237624,0.00987648269777473
"IBCF_BIN",0.0940594059405941,4.90594059405941,0.905940594059406,500.094059405941,506,0.0188118811881188,0.0940594059405941,0.0940594059405941,0.00971473384962259
"UBCF_BIN",0.00495049504950495,4.9950495049505,0.995049504950495,500.00495049505,506,0.00099009900990099,0.00495049504950495,0.00495049504950495,0.00989118713851583
"POPULAR_BIN",0.101485148514851,4.89851485148515,0.898514851485149,500.101485148515,506,0.0202970297029703,0.101485148514851,0.101485148514851,0.00970002940888148
