"id_cliente","producto_recomendado","ranking"
"61","08150105",4
"61","01200505",5
"62","01012910",1
"62","05040185",2
"62","01016505",3
"62","02691015",4
"62","14302501",5
"63","01012905",1
"63","11100137",2
"63","12650103",3
"63","01027825",4
"63","05120210",5
"64","01012910",1
"64","02690515",2
"64","05030601",3
"64","14302501",4
"64","10200715",5
"65","03050704",1
"65","04200505",2
"65","05030401",3
"65","01026810",4
"65","08120920",5
"66","02651405",1
"66","04060302",2
"66","10080503",3
"66","09190101",4
"66","04130201",5
"67","01012515",1
"67","11100131",2
"67","14302501",3
"67","05041182",4
"67","05100105",5
"68","14302501",1
"68","01016705",2
"68","05200102",3
"68","10260605",4
"68","08314045",5
"69","01012515",1
"69","01017105",2
"69","02650602",3
"69","04060506",4
"69","05041180",5
"70","14351015",1
"70","10028710",2
"70","08190109",3
"70","02620115",4
"70","11060101",5
"71","01012515",1
"71","01012910",2
"71","01016710",3
"71","05030498",4
"71","01012905",5
"72","01012905",1
"72","01013305",2
"72","11080101",3
"72","01027205",4
"72","04020301",5
"73","12650103",1
"73","11040303",2
"73","04032060",3
"73","04032065",4
"73","11040301",5
"74","14302501",1
"74","01013315",2
"74","05030401",3
"74","05040184",4
"74","07121510",5
"75","05030415",1
"75","11040301",2
"75","05100802",3
"75","04020101",4
"75","04020230",5
"76","09010101",1
"76","01026005",2
"76","08315005",3
"76","03070301",4
"76","01012530",5
"77","01012515",1
"77","04033005",2
"77","09010315",3
"77","12430107",4
"77","12500538",5
"78","08133510",1
"78","09350509",2
"78","09150801",3
"78","10153910",4
"78","01085510",5
"79","02691015",1
"79","04201005",2
"79","10200709",3
"79","01012310",4
"79","01012530",5
"80","02691015",1
"80","04201005",2
"80","01012310",3
"80","01012530",4
"80","04200505",5
"81","01012910",1
"81","04033005",2
"81","06100105",3
"81","10120410",4
"81","10241205",5
"82","02691015",1
"82","04201005",2
"82","01012310",3
"82","01012530",4
"82","04200505",5
"83","01085120",1
"83","03090320",2
"83","05041180",3
"83","01012310",4
"83","01012905",5
"84","12670115",1
"84","11080105",2
"84","02620115",3
"84","04080230",4
"84","04032065",5
"85","10260620",1
"85","10240133",2
"85","05040581",3
"85","04020301",4
"85","04032065",5
"86","01017105",1
"86","04060309",2
"86","05041180",3
"86","12650101",4
"86","04080230",5
"87","02691015",1
"87","04201005",2
"87","01012310",3
"87","01013315",4
"87","04200505",5
"88","02691015",1
"88","06100101",2
"88","01201515",3
"88","04020301",4
"88","05200102",5
"89","01012905",1
"89","01013305",2
"89","01028005",3
"89","12650501",4
"89","05040280",5
"90","01016710",1
"90","01085120",2
"90","01085505",3
"90","02691015",4
"90","02691020",5
"91","04012002",1
"91","04020101",2
"91","05200101",3
"91","05040682",4
"91","08132103",5
"92","05040682",1
"92","01012905",2
"92","08010907",3
"92","09250505",4
"92","05041188",5
"93","05030498",1
"93","01026005",2
"93","04020123",3
"93","11101315",4
"93","01026605",5
"94","02691015",1
"94","02691020",2
"94","04201005",3
"94","05040682",4
"94","01012310",5
"95","12650103",1
"95","05030410",2
"95","14351005",3
"95","05040284",4
"95","05200401",5
"96","01012705",1
"96","01016710",2
"96","01085120",3
"96","02691015",4
"96","05040682",5
"97","01085605",1
"97","05200302",2
"97","10260915",3
"97","04020230",4
"97","02620115",5
"98","01012705",1
"98","01012910",2
"98","01085120",3
"98","01201525",4
"98","02691015",5
"99","01012310",1
"99","01026410",2
"99","01027805",3
"99","04020301",4
"99","05030101",5
"100","02691015",1
"100","01027835",2
"100","08031901",3
"100","08100907",4
"100","10280115",5
"101","11040301",1
"101","06100101",2
"101","05030301",3
"101","10240130",4
"101","05040581",5
"102","01012905",1
"102","01201515",2
"102","05040584",3
"102","04012002",4
"102","01012910",5
"103","11080501",1
"103","11100137",2
"103","05040281",3
"103","10028725",4
"103","03033040",5
"104","06100107",1
"104","01085605",2
"104","05040281",3
"104","06120101",4
"104","10080301",5
"105","01012530",1
"105","01013315",2
"105","05040184",3
"105","01016505",4
"105","01026410",5
"106","01012910",1
"106","01017105",2
"106","02691015",3
"106","03070109",4
"106","04033005",5
"107","01085120",1
"107","05041180",2
"107","05041183",3
"107","05030403",4
"107","11040305",5
"108","05100802",1
"108","04201005",2
"108","01016505",3
"108","05040584",4
"108","05040580",5
"109","10028406",1
"109","11080101",2
"109","01027835",3
"109","10240133",4
"109","02651401",5
"110","01085505",1
"110","12410320",2
"110","09010503",3
"110","01201510",4
"110","02650302",5
"111","05040682",1
"111","08090113",2
"111","08150107",3
"111","12500501",4
"111","14302501",5
"112","10200709",1
"112","09010101",2
"112","04020101",3
"112","05041185",4
"112","04020230",5
"113","01012910",1
"113","05041180",2
"113","06100105",3
"113","11100131",4
"113","01012905",5
"114","01085120",1
"114","02691015",2
"114","02691020",3
"114","02720520",4
"114","04201005",5
"115","05040580",1
"115","05200401",2
"115","10260620",3
"115","05030103",4
"115","01012515",5
"116","01012910",1
"116","05030615",2
"116","05030401",3
"116","11100137",4
"116","01028005",5
"117","01016710",1
"117","01085005",2
"117","01012530",3
"117","04200505",4
"117","11040303",5
"118","04201005",1
"118","05041180",2
"118","08230709",3
"118","01012905",4
"118","01013305",5
"119","04060506",1
"119","01016705",2
"119","05120107",3
"119","01016505",4
"119","01026810",5
"120","01201005",1
"120","01201515",2
"120","09071105",3
"120","12710302",4
"120","03050307",5
"121","02690515",1
"121","05041180",2
"121","06100105",3
"121","08230709",4
"121","11060301",5
"122","11100128",1
"122","01013305",2
"122","01012910",3
"122","05200102",4
"122","08314035",5
"123","01012515",1
"123","04060506",2
"123","05041187",3
"123","11080101",4
"123","11100128",5
"124","01085515",1
"124","10028406",2
"124","11080503",3
"124","11080101",4
"124","08100907",5
"125","01013305",1
"125","01201515",2
"125","05200102",3
"125","01085605",4
"125","10240133",5
"126","05030101",1
"126","01012910",2
"126","04200505",3
"126","11100128",4
"126","05040280",5
"127","05200103",1
"127","10260910",2
"127","10028735",3
"127","05030302",4
"127","05160101",5
"128","01085120",1
