"id_cliente_enc","kmeans_cluster"
"0000595d5253705a2bf0c6f05ccbb800",2
"000420e88d1d6032d2a9957576177fee",1
"0004d0d0b37a6bb1624bfa3981eb159f",1
"00054553b480893c05f2e044625074ae",1
"0006ef2f1c591a406fe01da160466230",1
"0007144f84dec495b2efa9c44fffaae2",1
"000be44cf2378041e456e9ef21076f32",1
"000c6c7893fe5d999f9bf2a33094e73e",1
"000c75b30bb0b237ec817d203e88a54f",2
"00143712a013f73eef3a8ec1e52b9ef5",2
"00196f62ac27cc336d2dfa40d73d17e2",3
"001ee0217c89aff2b727d7faa2447679",1
"001f016e041f01d40fc8fea87466648e",2
"002867cbb9f0de2b4678b73bc8d8b3d9",2
"0029751b7fcfb4dd553d7155370c0198",2
"002a19892cb891665ec0b77d3730f237",1
"002b38d6c352e7cbeb439b4e85fb349d",1
"002b87a72cb020a5d6f5c2008f8b7d36",1
"002c67b522d2ebb1c89f6fcf18ae7a3f",1
"002fcad093ac3fa5988b59e53788fd61",1
"00314f3d0a9d4f4109f66c1206c211a7",3
"00322c1d439808b60d1e5717956afa8e",1
"00339bd0db8a3a3070c85e793ca7dd43",1
"0033f6b64fd807c3ddde4a5b5e3b5f9b",3
"00341ca1bf2dd3066c42f50685697f31",3
"00348337ef9c4396c312d06f7cadfbd6",1
"0036c5bab60f98a6b50e04e81575b9f9",1
"00374cb7f0170153c519747b4062201b",3
"003bf37f219e80db497e4d15d0e9bb7b",1
"003d3ebe117cb786a4d73fea8d17319b",3
"003fa3344cb647a6af3ab9c765e86ad0",3
"00430a0ba38f0744700f811a45957ff8",2
"0044a6a27228c3f3022ccda30ebad8a1",1
"0044a91daa38ca4f9677179baf1e6324",1
"0045485fae7394dbd5242684564113b2",2
"00481cf3e91879592a2b8c57eee4f7db",3
"004c295640c8d688391908667270aa31",3
"004c59dafb02a53e4e2ca68b66053df4",1
"004c726a1f31128ad5b9f70b9f6f000d",1
"0050903400103984041efdc280d8da21",2
"0051bc212b8aa6fda30ecd3f157a08e9",1
"0051cf4b346d004ad485f15f3948e0a7",1
"00536f672ef77ce43cc3509ca672e0cd",1
"00537326bca29d951445cd364b8b5151",2
"005489dd6890d9947744045d5cdaf630",1
"0054b10cdd4c0b6272caa58ac0906931",1
"0055706d5150d3ef95af9023def53033",2
"005657f891fe26a59ff7c86ecdb3540f",2
"00565b7300fe472b8ee35c89596b413e",3
"00581eee4acd753e70eea3bd02139b54",3
"005a76a5b25a5903ba09f08e41dc2258",1
"005e6021f9fdda5e1c3a0225cf7102d2",2
"0060a6437f6889b40c6e28330f5022ba",1
"006170c4fb70220e499415f83a59ef23",2
"00621b050938aa94253b4907ca3a423c",2
"0068bed782963cd2778a56520a464311",2
"0068d9eba21504a810eb95043e1a8183",1
"006943e45e018b299391c85d64609b6e",1
"006b4dccb949a465d4226584f7f0a7c9",1
"006d88722f2a0c3b42368a165d918124",2
"006e1d7694bc4d644adb57585679058f",1
"00723ea93efad2f4c7b36491a50662b4",1
"0074424721dab005b017c33a20d42ca0",1
"0079984b08316a6c59ffc60f2bf2f0fe",3
"007a7a53e4dbf2be926e1674bd3a471d",2
"007b62b4c2649d618fcc5fd8413bfcf2",3
"007bf88e60d8c07bdda696c9ea30fb05",1
"007e107c419d56f77ee4184799ca8681",2
"0080422d8ae594ea199ab00659f692cd",3
"008150ec8b155f32934aeacc578c6f9e",1
"0081c4cd8a89ed39c1951057e862dfc8",3
"008274042dc16dba5eaba4eceb7f1313",3
"00836b98935cc16d3b312c049c57253a",2
"0084b04f862edbfe9f47e7509c3ecc46",1
"008627714a75a38c25921ddd208b9d27",1
"0086ba87cb67c80a1e565542f135ea99",1
"0087cac244a1ce322096a477364f390d",3
"008a3ed7f5c452b35d7e2f89531b4e40",3
"008b303d0d819fc99da25c39d42b5e04",1
"008c694c2477e1a38083c6253f573756",3
"008eae973088bfdbfb468ffc37d6582d",3
"00958a22ef3693d3d6934de502ed66a4",3
"00966047b728d4fe20b60d0d2d25cda5",1
"0096b145979530ec29b289d05e34d2f8",3
"0097b3cb2da118aeea2ad9bd2976253c",2
"009c3f4f114e5150ef8d8663670df60a",3
"009e7578519824754fad4e17c6569372",1
"009e91c280e5742d8009b9a3417c19f3",2
"009f5fe6b557854af99fc59e900245f1",2
"00a2a3ba64bf707e4073b5d42accceac",3
"00a2e7caacd9bc2dd7d0cd844136d487",1
"00a6153f68d9cb79514bce57e3dce474",1
"00a736ee6deb7d8b6de7c8701fbfb276",3
"00a7621250bfbcd783e476f8f829c998",1
"00a79e61250cbb98453a901540c82aa0",1
"00a8f692918c6fbada0e3d763353384a",1
"00abab2d6d24ec7092b71eb31312a561",1
"00ad0e40a64e60fea4ee345c1a441280",2
"00ae694d81a199a390cd0c6954abb070",2
"00b0f6eadb0d8e62e9048dbea5580e46",2
"00b3d995c6bd6c2caa1270ebd82741c8",1
"00b3e87c014db217475535de8f76a3b7",3
"00b54625083cd831dc93fb05bb492394",1
"00b7fbd8a76e2f91a59363333d7af94a",1
"00b8c37fd3617b2b58261785dd22044e",1
"00bba0548dcff6c684fd956fc0ec7cc4",3
"00beec225f1530ca3700029b2eb7cc2f",3
"00c028cba42fa353966abe28d12834eb",3
"00c29f0e6b4404a0df36e8538124dba9",1
"00c2cacef5e78a02cb4fb56cb65f57c3",2
"00c2e7e0817d3dd043f6626a8223956a",1
"00c5e197332798a74910d3dd84433c01",1
"00c8f1db97a57f4ed837b34f21167e53",1
"00d120f76d0826a47e664f86449e6147",1
"00d2e4b996a53e737a314c644dffb596",2
"00d5b0cfc45df385d8aa06c817ca6e04",2
"00d8f59e05d4fc602c2b60ef1f5c96b0",2
"00dc562aa3358d32137ec679cf1dff65",2
"00dd721560ec13f4c8c94e2156662abc",1
"00ddbabbbe7ea845c60a1f365278761c",1
"00de9fea9c64c34947f5e4628f3b89df",1
"00dfad20efe5b87a65a040e2001bf7c3",3
"00e00a4b719b4d0293e1afb8c7d1ec97",3
"00e1c9eb4bf398d3c79b3c2161902c9f",1
"00e4101e6b9034564c1afff043825a9f",2
"00e4c6295b6b13f9e0ff9e3cbee7317b",1
"00e4e49669e76521df4e62fe4391a4ce",1
"00e5828a8bfee3fb438f3adf8b0b41e5",2
"00e67fd6cffb7670d5181c66e863fc39",2
"00e7dc9e62b27a5af794c1d9d6d8cb28",1
"00e9284603630c55b80fd38eebacde57",2
"00e9c71f0153690a041bf98e4617f282",1
"00e9f71c178d5b284e3c0fd0878bc199",2
"00ecfdf106f1723581dd4fbf27d26ba2",2
"00ef5b1896a86d9a001efb727c2cc962",1
"00f0971c1d6850eedfc0edfa6e8db1c9",1
"00f169451bea188e1b5fc2c06734a542",2
"00f24d3c714d477a823a376aa112e318",2
